product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
DAT-127-34-YE-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-35-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แซกแขนสั้น สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-35-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DAT-127 ลาย Disney MARIE (แซกแขนสั้น สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-35-PI-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แซกแขนสั้น สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-35-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แซกแขนสั้น สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-35-YE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แซกแขนสั้น สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DISNEY-T-SHIRT-01-1-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-1👤(สีดำ ไซส์ F),2025-10-01,2025,10,5
DISNEY-T-SHIRT-01-1-BK-MINI,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-1👤(สีดำ ไซส์ MINI),2025-10-01,2025,10,6
DISNEY-T-SHIRT-01-1-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-1👤(สีขาว ไซส์ F),2025-10-01,2025,10,4
DISNEY-T-SHIRT-01-1-WH-MINI,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DISNEY-T-SHIRT ลายมิกกี้เมาส์01-1👤(สีขาว ไซส์ MINI),2025-10-01,2025,10,5
